Provence,number,year,GDP
新疆,first_num,1987,56.18000031
新疆,second_num,1987,50.29999924
新疆,third_num,1987,42.02999878
新疆,tGDP,1987,148.5099945
西藏,first_num,1987,8.069999695
西藏,second_num,1987,2.130000114
西藏,third_num,1987,7.510000229
西藏,tGDP,1987,17.70999908
内蒙古,first_num,1987,62.20999908
内蒙古,second_num,1987,70.41999817
内蒙古,third_num,1987,79.63999939
内蒙古,tGDP,1987,212.2700043
青海,first_num,1987,11.73999977
青海,second_num,1987,16.61000061
青海,third_num,1987,15.02999973
青海,tGDP,1987,43.38000107
四川,first_num,1987,202.25
四川,second_num,1987,187.8800049
四川,third_num,1987,140.7299957
四川,tGDP,1987,530.8599854
黑龙江,first_num,1987,90.69999695
黑龙江,second_num,1987,261.6000061
黑龙江,third_num,1987,102.3000031
黑龙江,tGDP,1987,454.6000061
甘肃,first_num,1987,45.27000046
甘肃,second_num,1987,68.40000153
甘肃,third_num,1987,45.84999847
甘肃,tGDP,1987,159.5200043
云南,first_num,1987,84.05999756
云南,second_num,1987,84.30000305
云南,third_num,1987,60.66999817
云南,tGDP,1987,229.0299988
广西,first_num,1987,99.94000244
广西,second_num,1987,81.79000092
广西,third_num,1987,59.83000183
广西,tGDP,1987,241.5599976
湖南,first_num,1987,187.0899963
湖南,second_num,1987,173.4499969
湖南,third_num,1987,108.9000015
湖南,tGDP,1987,469.4400024
陕西,first_num,1987,67.83999634
陕西,second_num,1987,108.1999969
陕西,third_num,1987,68.91999817
陕西,tGDP,1987,244.9600067
广东,first_num,1987,232.1399994
广东,second_num,1987,330.3500061
广东,third_num,1987,284.2000122
广东,tGDP,1987,846.6900024
吉林,first_num,1987,80.56999969
吉林,second_num,1987,139.3600006
吉林,third_num,1987,77.55999756
吉林,tGDP,1987,297.4899902
河北,first_num,1987,137.6600037
河北,second_num,1987,255.9700012
河北,third_num,1987,128.2899933
河北,tGDP,1987,521.9199829
湖北,first_num,1987,183.9900055
湖北,second_num,1987,224.5299988
湖北,third_num,1987,109.25
湖北,tGDP,1987,517.7700195
贵州,first_num,1987,66.45999908
贵州,second_num,1987,60.11000061
贵州,third_num,1987,38.93000031
